,sharpe,sharpe_full_annualized,sharpe_active,sharpe_active_annualized,max_drawdown,turnover,pnl_net,flip_rate,hit_rate,active_ratio,avg_active_position_size,position_flip_rate,avg_holding_bars,n_bars,n_active_bars,horizon_days,annualization_factor
naive,-0.010126701869825486,-7.344198100289887,-0.013577948545791915,-9.847149170350493,-0.14641754170483748,5.0,-0.038098063813211624,0.0024313997915943034,0.4984147114774889,0.5475694444444444,1.0,0.0017367141368530739,779.5475285171103,2880,1577,1.9993055555555554,725.2309976828072
gated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024313997915943034,0.0,0.0,0.0,0.0,0.0,2880,0,1.9993055555555554,725.2309976828072
