split_id,entry_k,t_widen_quantile,chi_widen_quantile,stress_quantile,recovery_quantile,train_n_episodes,train_score,train_mean_sharpe_full_raw,train_std_sharpe_full_raw,train_min_sharpe_full_raw,train_mean_pnl_net,train_mean_active_ratio,train_mean_turnover,train_robust_score
1,0.5,0.97,0.97,0.99,0.6,2.0,0.06034661120568354,0.004697440450646675,0.003713553050442181,0.0009838874002044947,0.0022631023607058965,0.18472222222222223,15.45,0.06878840225218377
1,0.75,0.95,0.99,0.99,0.6,2.0,0.03336889993996893,0.0032640221128954565,0.0032640221128954565,0.0,0.0012368353342118936,0.10086805555555556,5.950000000000001,0.04830597102277347
1,0.5,0.95,0.97,0.9,0.6,2.0,0.03343045527124394,0.0031930284239486423,0.0022091410237441477,0.0009838874002044947,0.0012315884841292534,0.1251736111111111,12.5,0.021974624007095864
1,1.25,0.97,0.97,0.95,0.8,2.0,0.002337908440302199,0.00034644730034162754,0.00034644730034162754,0.0,8.312291860183913e-05,0.027430555555555555,2.8500000000000005,-0.006395180351471815
1,1.25,0.95,0.95,0.9,0.8,2.0,0.0021412089023131005,0.0003248459094764611,0.0003248459094764611,0.0,7.590297880823018e-05,0.027430555555555555,2.75,-0.006419278778701762
2,0.5,0.97,0.97,0.99,0.6,3.0,0.03991134387231256,0.0031316269670977836,0.0037546230928673318,0.0,0.0015087349071372643,0.12314814814814816,10.299999999999999,0.04553920456997939
2,0.75,0.95,0.99,0.99,0.6,3.0,0.02202059958880479,0.0021760147419303045,0.0030773495599616266,0.0,0.0008245568894745957,0.06724537037037037,3.9666666666666672,0.031978646977341145
2,0.5,0.95,0.97,0.9,0.6,3.0,0.022067836587053025,0.0021286856159657614,0.002349295057601179,0.0,0.0008210589894195023,0.08344907407407408,8.333333333333334,0.014430615744287632
2,1.25,0.97,0.97,0.95,0.8,3.0,0.0015346884317932914,0.00023096486689441837,0.0003266336471937831,0.0,5.5415279067892754e-05,0.018287037037037036,1.9000000000000004,-0.004287370762722719
2,1.25,0.95,0.95,0.9,0.8,3.0,0.0014050466713109713,0.00021656393965097405,0.000306267660575356,0.0,5.060198587215345e-05,0.018287037037037036,1.8333333333333333,-0.004301945116032272
3,0.5,0.97,0.97,0.99,0.6,4.0,0.02975674278604547,0.0023487202253233376,0.003523027792406288,0.0,0.0011315511803529482,0.09236111111111112,7.725,0.033977638309295594
3,0.75,0.95,0.99,0.99,0.6,4.0,0.01638577121702599,0.0016320110564477283,0.002826726068281624,0.0,0.0006184176671059468,0.05043402777777778,2.9750000000000005,0.023854306758428256
3,0.5,0.95,0.97,0.9,0.6,4.0,0.016432967985857427,0.0015965142119743212,0.002233609110930258,0.0,0.0006157942420646267,0.06258680555555556,6.25,0.010705052353783391
3,1.25,0.97,0.97,0.95,0.8,4.0,0.0011372520919017064,0.00017322365017081377,0.00030003216316838667,0.0,4.156145930091957e-05,0.013715277777777778,1.4250000000000003,-0.003229292303985301
3,1.25,0.95,0.95,0.9,0.8,4.0,0.001040878987360589,0.00016242295473823054,0.00028132480992207543,0.0,3.795148940411509e-05,0.013715277777777778,1.375,-0.0032393648531468425
4,0.5,0.97,0.97,0.99,0.6,5.0,0.020725296985400044,0.0007821073376593372,0.004443701567391025,-0.005484344212996664,0.0008421646015835385,0.1436111111111111,7.359999999999999,0.005972600275742538
4,0.75,0.95,0.99,0.99,0.6,5.0,0.009787080163189351,0.00011831566941861629,0.003944286895109833,-0.005936465878697832,0.00042619344870192767,0.11006944444444444,3.8000000000000007,-0.004440890298439177
4,1.25,0.97,0.97,0.95,0.8,5.0,-0.0005852279370244341,-0.0004135046007367799,0.0012037506389617153,-0.0027604176043671547,5.1685729381109866e-06,0.05694444444444444,1.4800000000000002,-0.012077758257983805
4,1.25,0.95,0.95,0.9,0.8,5.0,-0.0006641070730997481,-0.00042214515708284653,0.0011959073661343468,-0.0027604176043671547,2.2805970206674044e-06,0.05694444444444444,1.44,-0.012087596949755457
4,0.5,0.95,0.97,0.9,0.6,5.0,0.008547755791031146,-0.00029405021303482716,0.0042764638556622,-0.00785630791307142,0.0003964368787192609,0.11979166666666666,6.42,-0.021098778780051286
5,0.5,0.97,0.97,0.99,0.6,6.0,0.01732330777440638,0.0006838204212357155,0.004062475182249716,-0.005484344212996664,0.0007062042459493237,0.18900462962962963,10.799999999999999,-0.015317343062489379
5,0.75,0.95,0.99,0.99,0.6,6.0,0.0053972533045092315,-0.0005342870559901052,0.0038850934152433315,-0.005936465878697832,0.0002761125485724068,0.16157407407407406,6.733333333333334,-0.025392778857042615
5,0.5,0.95,0.97,0.9,0.6,6.0,0.004131388005013694,-0.0009417407088426285,0.004163848478165337,-0.00785630791307142,0.0002445636333359063,0.15671296296296297,8.933333333333334,-0.04044852250880661
5,1.25,0.97,0.97,0.95,0.8,6.0,-0.005079316110473769,-0.0015326180000041253,0.0027330545188059907,-0.007128184996340853,-0.00011453737923072586,0.10497685185185185,4.25,-0.049701106818537386
5,1.25,0.95,0.95,0.9,0.8,6.0,-0.005835332828301567,-0.001677105578128611,0.0030110557919555076,-0.007951907683357434,-0.00013621853208736315,0.10497685185185185,4.816666666666666,-0.05682840618035735
