split_id,train_episode_count,train_episode_ids,test_episode_id,train_start,train_end,test_start,test_end,selected_entry_k,selected_t_widen_quantile,selected_chi_widen_quantile,selected_stress_quantile,selected_recovery_quantile,selected_train_robust_score,train_score,train_mean_sharpe_full_raw,train_mean_pnl_net,reference_variant_id,reference_base_sharpe,reference_base_pnl_net
1,2,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv,data/processed/episodes/usdc_depeg_2023/prices_matrix.csv,2023-03-09 16:00:00+00:00,2023-03-11 23:59:00+00:00,2023-03-10 00:00:00+00:00,2023-03-11 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.06878840225218377,0.06034661120568354,0.004697440450646675,0.0022631023607058965,premium_debiased__gating_on__statmech_on__hawkes_on,0.0,0.0
2,3,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023/prices_matrix.csv,data/processed/episodes/usdc_depeg_2023_spot/prices_matrix.csv,2023-03-09 16:00:00+00:00,2023-03-11 23:59:00+00:00,2023-03-10 00:00:00+00:00,2023-03-11 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.04553920456997939,0.03991134387231256,0.0031316269670977836,0.0015087349071372643,premium_debiased__gating_on__statmech_on__hawkes_on,0.0,0.0
3,4,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023_spot/prices_matrix.csv,data/processed/episodes/march_vol_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2023-03-11 23:59:00+00:00,2024-03-12 00:00:00+00:00,2024-03-13 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.033977638309295594,0.02975674278604547,0.0023487202253233376,0.0011315511803529482,premium_debiased__gating_on__statmech_on__hawkes_on,-0.0008667122622001224,-2.1836943866813455e-05
4,5,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023_spot/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv,data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-03-13 23:59:00+00:00,2024-08-05 00:00:00+00:00,2024-08-06 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.005972600275742538,0.020725296985400044,0.0007821073376593372,0.0008421646015835385,premium_debiased__gating_on__statmech_on__hawkes_on,-0.003949682810696965,-0.0002943876232703352
5,6,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/usdc_depeg_2023_spot/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv|data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,data/processed/episodes/yen_followthrough_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-08-06 23:59:00+00:00,2024-08-07 00:00:00+00:00,2024-08-08 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,-0.015317343062489379,0.01732330777440638,0.0006838204212357155,0.0007062042459493237,premium_debiased__gating_on__statmech_on__hawkes_on,-0.003370744589962679,-8.88307992704129e-05
