episode,venue,market_type,root,quote,symbol,shock_threshold_bps,baseline_abs_ret_bps,n_shocks,n_recovered,unrecovered_ratio,recovery_median_bars,recovery_p90_bars
march_vol_2024_binance,binance,derivatives,BNB,USDC,BNBUSDC-PERP,48.94023183813918,6.134675085087693,29,29,0.0,3.0,9.0
march_vol_2024_binance,binance,derivatives,BNB,USDT,BNBUSDT-PERP,44.814764878474115,6.438419761303216,29,28,0.034482758620689655,2.5,9.0
march_vol_2024_binance,binance,derivatives,BTC,USDC,BTCUSDC-PERP,29.291923018979915,3.30834592848106,29,29,0.0,3.0,9.2
march_vol_2024_binance,binance,derivatives,BTC,USDT,BTCUSDT-PERP,30.63675941553857,3.4322243035944666,29,29,0.0,5.0,23.2
march_vol_2024_binance,binance,derivatives,ETH,USDC,ETHUSDC-PERP,32.17408178795359,3.9011835773550274,29,29,0.0,5.0,14.399999999999999
march_vol_2024_binance,binance,derivatives,ETH,USDT,ETHUSDT-PERP,32.937642576614586,4.25552383471306,29,29,0.0,5.0,14.399999999999999
march_vol_2024_binance,binance,derivatives,SOL,USDC,SOLUSDC-PERP,50.44193838180023,8.063680938485973,29,29,0.0,6.0,11.399999999999999
march_vol_2024_binance,binance,derivatives,SOL,USDT,SOLUSDT-PERP,52.1742591992268,8.255714554881166,29,29,0.0,4.0,11.0
