,mean,median,min,max
baseline_gated_sharpe_full_raw,-0.002226016482519053,-0.0007541026843434739,-0.005923946763213685,0.0
tuned_gated_sharpe_full_raw,-0.011722314646166904,-0.013725220850811517,-0.01886686549218391,-0.0025748575955052808
delta_gated_sharpe_full_raw,-0.00949629816364785,-0.012942918728970226,-0.013725220850811517,-0.001820754911161807
baseline_gated_pnl_net,-0.00010698036357168011,-5.945446339811807e-05,-0.00026148662731692227,0.0
tuned_gated_pnl_net,-0.0007701817683110978,-0.000561510711820608,-0.001458522635177084,-0.00029051195793560147
delta_gated_pnl_net,-0.0006632014047394176,-0.000561510711820608,-0.0011970360078601616,-0.0002310574945374834
baseline_gated_active_ratio,0.12141203703703703,0.059722222222222225,0.0,0.30451388888888886
tuned_gated_active_ratio,0.31793981481481476,0.3420138888888889,0.23472222222222222,0.3770833333333333
