episode,variant,sharpe,pnl_net,max_drawdown,turnover,flip_rate,active_ratio,hit_rate,n_bars,n_active_bars,horizon_days,avg_active_position_size,edge_net_trade_median_bps,edge_net_trade_p10_bps,optimal_size_trade_mean,break_even_premium_median_bps,cost_bps_applied_mean,sharpe_full_annualized,sharpe_active,sharpe_active_annualized,annualization_factor
bybit_usdc_depeg_2023,naive,-0.0102550481691091,-0.0385849146614251,-0.1466939614815707,1.0,0.0024313997915943,0.5524305555555555,0.497171590194846,2880,1591,1.9993055555555552,1.0,,,,,0.75,-7.43727881496825,-0.0137712214264678,-9.987316654428108,725.2309976828072
bybit_usdc_depeg_2023,gated,0.1017057881394425,0.0359197776335136,-0.0010098406928822,359.7,0.1205279610976033,0.203125,0.6547008547008547,2880,585,1.9993055555555552,0.8352991452991453,2.12663673983633,1.22811536809633,0.979303675048356,0.9737712511802092,0.9069829529571528,73.76019020248411,0.3273794151029001,237.42569983589013,725.2309976828072
okx_usdc_depeg_2023,naive,0.0491847712474774,0.2672970859933867,-0.1248838916970921,305.0,0.1618617575547065,0.4440972222222222,0.5723221266614542,2880,1279,1.9993055555555552,1.0,,,,,0.75,35.670320722608736,0.0771130030833489,55.92474016045457,725.2309976828072
okx_usdc_depeg_2023,gated,0.1588856348176674,0.2124594039332701,-0.0077449023671392,679.1,0.2257728377908996,0.3222222222222222,0.6637931034482759,2880,928,1.9993055555555552,0.8069504310344828,4.1403786660993225,2.314639999131073,0.9979640718562872,0.7776538385525569,0.9184190535621004,115.2287874562831,0.3277235645158565,237.67528765800049,725.2309976828072
march_vol_2024_binance,naive,0.0120396249672216,0.0021019477389341,-0.0006425112656494,5.0,0.03959708232025,0.30625,0.5011337868480725,2880,882,1.9993055555555552,1.0,,,,,0.75,8.73150922670496,0.0241090886738327,17.484658432146965,725.2309976828072
march_vol_2024_binance,gated,-0.0115892511841912,-0.0012237071669873,-0.0022085555859089,300.05,0.1389371309482459,0.3486111111111111,0.545816733067729,2880,1004,1.9993055555555552,0.5004482071713148,0.4836521112375521,0.1784665790420459,0.8786240786240787,1.510036002624441,0.7572648515692377,-8.40488419870767,0.0898260084257267,65.14460570845402,725.2309976828072
yen_unwind_2024_binance,naive,0.0293567063971873,0.0049752430243192,-0.0006581100861247,8.0,0.0034734282737061,0.1333333333333333,0.4895833333333333,2880,384,1.9993055555555552,1.0,,,,,0.75,21.290393469113432,0.0856160168010232,62.0913892822341,725.2309976828072
yen_unwind_2024_binance,gated,0.0617008596248122,0.0097246181288332,-0.0006042188958834,270.0,0.118096561306009,0.3048611111111111,0.570615034168565,2880,878,1.9993055555555552,0.4657175398633257,0.4749202348382013,0.1577924761208406,0.8897651006711409,2.196878597060979,0.7605520168271356,44.74737598358941,0.1949078595163543,141.35322141326608,725.2309976828072
yen_followthrough_2024_binance,naive,0.0063782213755228,0.0009055879955447,-0.0005412240535829,2.0,0.0006946856547412,0.2194444444444444,0.509493670886076,2880,632,1.9993055555555552,1.0,,,,,0.75,4.625683851612219,0.0147504810466266,10.697506085746364,725.2309976828072
yen_followthrough_2024_binance,gated,-0.0057321602531243,-0.0005509579242907,-0.0015515944507634,247.5,0.1194859326154915,0.296875,0.5286549707602339,2880,855,1.9993055555555552,0.4669005847953217,0.33728440328334,0.1612147346279278,0.8666666666666666,1.7407632545429428,0.7537149023731219,-4.1571402992511235,0.0863441183335635,62.61943108309268,725.2309976828072
