episode,matrix_path,baseline_gated_sharpe_full_raw,tuned_gated_sharpe_full_raw,delta_gated_sharpe_full_raw,baseline_gated_pnl_net,tuned_gated_pnl_net,delta_gated_pnl_net,baseline_gated_active_ratio,tuned_gated_active_ratio
march_vol_2024_binance,data/processed/episodes/march_vol_2024_binance/prices_matrix.csv,-0.005923946763213685,-0.01886686549218391,-0.012942918728970226,-0.00026148662731692227,-0.001458522635177084,-0.0011970360078601616,0.059722222222222225,0.3770833333333333
yen_followthrough_2024_binance,data/processed/episodes/yen_followthrough_2024_binance/prices_matrix.csv,0.0,-0.013725220850811517,-0.013725220850811517,0.0,-0.000561510711820608,-0.000561510711820608,0.0,0.23472222222222222
yen_unwind_2024_binance,data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,-0.0007541026843434739,-0.0025748575955052808,-0.001820754911161807,-5.945446339811807e-05,-0.00029051195793560147,-0.0002310574945374834,0.30451388888888886,0.3420138888888889
