split_id,entry_k,t_widen_quantile,chi_widen_quantile,stress_quantile,recovery_quantile,train_n_episodes,train_score,train_mean_sharpe_full_raw,train_std_sharpe_full_raw,train_min_sharpe_full_raw,train_mean_pnl_net,train_mean_active_ratio,train_mean_turnover,train_robust_score
1,0.5,0.97,0.97,0.99,0.6,2.0,0.05142088701660307,0.0014633246440460962,0.00694766885704276,-0.005484344212996664,0.0020677791834727067,0.34739583333333335,15.850000000000001,0.030338069750147308
1,0.75,0.95,0.99,0.99,0.6,2.0,0.025374815954355926,0.0002957891735465407,0.006232255052244373,-0.005936465878697832,0.0010654836217548192,0.2751736111111111,9.500000000000002,0.007614287436378105
1,0.5,0.95,0.97,0.9,0.6,2.0,0.020952118005015487,-0.0012270692326893152,0.006629238680382106,-0.00785630791307142,0.000953459876312013,0.2878472222222222,13.5,-0.020770236148111618
1,1.25,0.97,0.97,0.95,0.8,2.0,-0.0011423897188413143,-0.0010337615018419497,0.001726656102525205,-0.0027604176043671547,1.2921432345277466e-05,0.1423611111111111,3.7000000000000006,-0.021592462708138277
1,1.25,0.95,0.95,0.9,0.8,2.0,-0.0013390892568304132,-0.0010553628927071164,0.0017050547116600383,-0.0027604176043671547,5.701492551668511e-06,0.1423611111111111,3.6,-0.021616561135368226
2,0.5,0.97,0.97,0.99,0.6,3.0,0.034296610721910294,0.0010396783757365996,0.005704298439427326,-0.005484344212996664,0.0013873202782412211,0.37025462962962963,19.900000000000002,-0.028183556094904045
2,0.75,0.95,0.99,0.99,0.6,3.0,0.011376516281726687,-0.0010685741119802103,0.005442148139653775,-0.005936465878697832,0.0005522250971448136,0.32314814814814813,13.466666666666669,-0.04296024591361098
2,0.5,0.95,0.97,0.9,0.6,3.0,0.007992306232721057,-0.0022114438844200884,0.005588904832874059,-0.00785630791307142,0.0004640390530143864,0.30567129629629625,16.166666666666668,-0.06070578587112616
2,1.25,0.97,0.97,0.95,0.8,3.0,-0.009592157230839275,-0.0030652360000082506,0.0032002090771789276,-0.007128184996340853,-0.00022907475846145172,0.2099537037037037,8.5,-0.0845793686542848
2,1.25,0.95,0.95,0.9,0.8,3.0,-0.011049288049184874,-0.003354211156257222,0.0035366011542379795,-0.007951907683357434,-0.0002724370641747263,0.2099537037037037,9.633333333333333,-0.09713161938658157
