split_id,train_episode_count,train_episode_ids,test_episode_id,train_start,train_end,test_start,test_end,selected_entry_k,selected_t_widen_quantile,selected_chi_widen_quantile,selected_stress_quantile,selected_recovery_quantile,selected_train_robust_score,train_score,train_mean_sharpe_full_raw,train_mean_pnl_net,reference_variant_id,reference_base_sharpe,reference_base_pnl_net
1,2,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv,data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-03-13 23:59:00+00:00,2024-08-05 00:00:00+00:00,2024-08-06 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.030338069750147308,0.05142088701660307,0.0014633246440460962,0.0020677791834727067,premium_debiased__gating_on__statmech_on__hawkes_on,-0.003949682810696965,-0.0002943876232703352
2,3,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv|data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,data/processed/episodes/yen_followthrough_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-08-06 23:59:00+00:00,2024-08-07 00:00:00+00:00,2024-08-08 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,-0.028183556094904045,0.034296610721910294,0.0010396783757365996,0.0013873202782412211,premium_debiased__gating_on__statmech_on__hawkes_on,-0.003370744589962679,-8.88307992704129e-05
