,sharpe,sharpe_full_annualized,sharpe_active,sharpe_active_annualized,max_drawdown,turnover,pnl_net,flip_rate,hit_rate,active_ratio,avg_active_position_size,position_flip_rate,avg_holding_bars,n_bars,n_active_bars,horizon_days,annualization_factor,cost_bps_applied_mean,edge_net_trade_median_bps,edge_net_trade_p10_bps,optimal_size_trade_mean,break_even_premium_median_bps
naive,0.02821754860589101,20.464240927613442,0.08418220902660443,61.051547439506955,-0.000658110086124708,8.0,0.0047752430243192204,0.0034734282737061478,0.4895833333333333,0.13333333333333333,1.0,0.0027787426189649182,92.93489583333333,2880,384,1.9993055555555554,725.2309976828072,1.0,,,,
gated,-0.0020565979855718614,-1.4915086089087326,-0.0010132087836207371,-0.7348104170062507,-0.0011066965209811223,19.0,-0.00022529075363523279,0.011114970475859673,0.49746192893401014,0.3420138888888889,0.342741116751269,0.012156998957971519,330.66497461928935,2880,985,1.9993055555555554,725.2309976828072,1.0034640615363344,0.2751377634202721,0.043380089450188786,0.8036363636363635,1.8130763869779323
