split_id,train_episode_count,train_episode_ids,test_episode_id,train_start,train_end,test_start,test_end,selected_entry_k,selected_t_widen_quantile,selected_chi_widen_quantile,selected_stress_quantile,selected_recovery_quantile,train_score,train_mean_sharpe_full_raw,train_mean_pnl_net,reference_variant_id,reference_base_sharpe,reference_base_pnl_net
1,1,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv,data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv,2023-03-09 16:00:00+00:00,2023-03-11 15:59:00+00:00,2023-03-10 00:00:00+00:00,2023-03-11 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.20480157123811019,0.01309867176134515,0.007668115979070601,premium_debiased__gating_on__statmech_on__hawkes_on,-0.003160968867996543,-0.00018068197857357715
2,2,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv,data/processed/episodes/march_vol_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2023-03-11 23:59:00+00:00,2024-03-12 00:00:00+00:00,2024-03-13 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.10231918928616825,0.007041279580774822,0.00387169031002144,premium_debiased__gating_on__statmech_on__hawkes_on,-0.0026356250615062367,-0.00014728149176479395
3,3,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv,data/processed/episodes/smoke_2024_08_05/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-03-13 23:59:00+00:00,2024-08-05 00:00:00+00:00,2024-08-05 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.04604900785256663,-0.001874755040165682,0.0020523952203220764,premium_debiased__gating_on__statmech_on__hawkes_on,-0.005464335675984688,-0.00031367474724325036
4,4,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv|data/processed/episodes/smoke_2024_08_05/prices_matrix.csv,data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-08-05 23:59:00+00:00,2024-08-05 00:00:00+00:00,2024-08-06 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.02611039786767564,-0.0037396564319392175,0.001315666908724723,premium_debiased__gating_on__statmech_on__hawkes_on,-0.008242431553810353,-0.00066904715886379
5,5,data/processed/episodes/okx_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/bybit_usdc_depeg_2023/prices_matrix.csv|data/processed/episodes/march_vol_2024_binance/prices_matrix.csv|data/processed/episodes/smoke_2024_08_05/prices_matrix.csv|data/processed/episodes/yen_unwind_2024_binance/prices_matrix.csv,data/processed/episodes/yen_followthrough_2024_binance/prices_matrix.csv,2023-03-09 16:00:00+00:00,2024-08-06 23:59:00+00:00,2024-08-07 00:00:00+00:00,2024-08-08 23:59:00+00:00,0.5,0.97,0.97,0.99,0.6,0.01828328922005595,-0.0034912958082103283,0.0009799169576346204,premium_debiased__gating_on__statmech_on__hawkes_on,-0.005299006336603137,-0.000132994471077769
